tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1,1000000,50150,45300,55000,0,0,0,0,0,0,0,50150,150
2,1001000,49950,45100,54800,0,0,0,0,0,0,0,49950,150
3,1002000,49850,45000,54700,0,0,0,0,0,0,0.000996,49850,150
4,1003000,49750,44900,54600,0,0,0,0,0,0,0.000938091,49750,150
5,1004000,49550,44700,54400,0,0,0,0,0,0,0.00100311,49550,150
6,1005000,49450,44600,54300,0,0,0,0,0,0,0.000980529,49450,150
7,1006000,49450,44600,54300,0,0,0,0,0,0,0.001378,49450,150
8,1007000,49550,44700,54400,0,0,0,0,0,0,0.00198959,49550,150
9,1008000,49550,44700,54400,0,0,0,0,0,0,0.00194603,49550,150
10,1009000,49650,44800,54500,0,0,0,0,0,0,0.00214253,49650,150
11,1010000,49850,45000,54700,0,0,0,0,0,0,0.00255012,49850,150
12,1011000,49950,45100,54800,0,0,0,0,0,0,0.00254408,49950,150
13,1012000,50050,45200,54900,0,0,0,0,0,0,0.00252183,50050,150
14,1013000,50050,45200,54900,0,0,0,0,0,0,0.0024233,50050,150
15,1014000,49950,45100,54800,0,0,0,0,0,0,0.00238308,49950,150
16,1015000,49950,45100,54800,0,0,0,0,0,0,0.00230337,49950,150
17,1016000,49750,44900,54600,0,0,0,0,0,0,0.00240748,49750,150
18,1017000,49650,44800,54500,0,0,0,0,0,0,0.00236253,49650,150
19,1018000,49550,44700,54400,0,0,0,0,0,0,0.00231911,49550,150
20,1019000,49350,44500,54200,0,0,0,0,0,0,0.00237979,49350,150
21,1020000,49150,44400,53900,0,0,0,0,0,0,0.00242303,49150,150
22,1021000,49150,44400,53900,0,0,0,0,0,0,0.00237434,49150,150
23,1022000,49050,44300,53800,0,0,0,0,0,0,0.00233059,49050,150
24,1023000,49050,44300,53800,0,0,0,0,0,0,0.00228861,49050,150
25,1024000,49050,44300,53800,0,0,0,0,0,0,0.00224869,49050,150
26,1025000,49050,44300,53800,0,0,0,0,0,0,0.00221069,49050,150
27,1026000,49150,44400,53900,0,0,0,0,0,0,0.00223949,49150,150
28,1027000,49250,44400,54100,0,0,0,0,0,0,0.00226067,49250,150
29,1028000,49350,44500,54200,0,0,0,0,0,0,0.00227574,49350,150
30,1029000,49250,44400,54100,0,0,0,0,0,0,0.00225185,49250,150
31,1030000,49250,44400,54100,0,0,0,0,0,0,0.00221683,49250,150
32,1031000,49350,44500,54200,0,0,0,0,0,0,0.00222982,49350,150
33,1032000,49250,44400,54100,0,0,0,0,0,0,0.00221036,49250,150
34,1033000,49450,44600,54300,0,0,0,0,0,0,0.00231613,49450,150
35,1034000,49650,44800,54500,0,0,0,0,0,0,0.00240315,49650,150
36,1035000,49550,44700,54400,0,0,0,0,0,0,0.00238587,49550,150
37,1036000,49550,44700,54400,0,0,0,0,0,0,0.00235317,49550,150
38,1037000,49450,44600,54300,0,0,0,0,0,0,0.0023372,49450,150
39,1038000,49350,44500,54200,0,0,0,0,0,0,0.00232122,49350,150
40,1039000,49550,44700,54400,0,0,0,0,0,0,0.00239762,49550,150
41,1040000,49350,44500,54200,0,0,0,0,0,0,0.00243825,49350,150
42,1041000,49350,44500,54200,0,0,0,0,0,0,0.00240913,49350,150
43,1042000,49250,44400,54100,0,0,0,0,0,0,0.00239331,49250,150
44,1043000,49250,44400,54100,0,0,0,0,0,0,0.00236621,49250,150
45,1044000,49250,44400,54100,0,0,0,0,0,0,0.00234001,49250,150
46,1045000,49050,44300,53800,0,0,0,0,0,0,0.00237584,49050,150
47,1046000,49250,44400,54100,0,0,0,0,0,0,0.00244224,49250,150
48,1047000,49150,44400,53900,0,0,0,0,0,0,0.00242766,49150,150
49,1048000,49250,44400,54100,0,0,0,0,0,0,0.00242782,49250,150
50,1049000,49350,44500,54200,0,0,0,0,0,0,0.00242688,49350,150
51,1050000,49150,44400,53900,0,0,0,0,0,0,0.00245866,49150,150
52,1051000,49250,44400,54100,0,0,0,0,0,0,0.00242712,49250,150
53,1052000,49150,44400,53900,0,0,0,0,0,0,0.00242752,49150,150
54,1053000,48950,44200,53700,0,0,0,0,0,0,0.00247379,48950,150
55,1054000,49150,44400,53900,0,0,0,0,0,0,0.00249127,49150,150
56,1055000,48950,44200,53700,0,0,0,0,0,0,0.00253817,48950,150
57,1056000,49150,44400,53900,0,0,0,0,0,0,0.00260793,49150,150
58,1057000,49350,44500,54200,0,0,0,0,0,0,0.00265665,49350,150
59,1058000,49450,44600,54300,0,0,0,0,0,0,0.00267295,49450,150
60,1059000,49250,44400,54100,0,0,0,0,0,0,0.00271428,49250,150
61,1060000,49250,44400,54100,0,0,0,0,0,0,0.00264794,49250,150
62,1061000,49350,44500,54200,0,0,0,0,0,0,0.00264836,49350,150
63,1062000,49550,44700,54400,0,0,0,0,0,0,0.00269797,49550,150
64,1063000,49350,44500,54200,0,0,0,0,0,0,0.00275085,49350,150
65,1064000,49150,44400,53900,0,0,0,0,0,0,0.00279143,49150,150
66,1065000,49250,44400,54100,0,0,0,0,0,0,0.00281057,49250,150
67,1066000,49350,44500,54200,0,0,0,0,0,0,0.00277728,49350,150
68,1067000,49550,44700,54400,0,0,0,0,0,0,0.00282558,49550,150
69,1068000,49650,44800,54500,0,0,0,0,0,0,0.00282558,49650,150
70,1069000,49450,44600,54300,0,0,0,0,0,0,0.00282534,49450,150
71,1070000,49550,44700,54400,0,0,0,0,0,0,0.00277664,49550,150
72,1071000,49550,44700,54400,0,0,0,0,0,0,0.00277664,49550,150
73,1072000,49750,44900,54600,0,0,0,0,0,0,0.00281021,49750,150
74,1073000,49850,45000,54700,0,0,0,0,0,0,0.0028202,49850,150
75,1074000,49850,45000,54700,0,0,0,0,0,0,0.0028202,49850,150
76,1075000,49650,44800,54500,0,0,0,0,0,0,0.00288484,49650,150
77,1076000,49850,45000,54700,0,0,0,0,0,0,0.00292262,49850,150
78,1077000,49850,45000,54700,0,0,0,0,0,0,0.00291212,49850,150
79,1078000,49850,45000,54700,0,0,0,0,0,0,0.00290106,49850,150
80,1079000,50050,45200,54900,0,0,0,0,0,0,0.00293109,50050,150
81,1080000,50050,45200,54900,0,0,0,0,0,0,0.00293109,50050,150
82,1081000,50150,45300,55000,0,0,0,0,0,0,0.00293072,50150,150
83,1082000,49950,45100,54800,0,0,0,0,0,0,0.00297489,49950,150
