tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1,1000000,50150,45200,55100,0,0,0,0,0,0,0,50150,150
2,1001000,49950,45000,54900,0,0,0,0,0,0,0.00399601,49950,150
3,1002000,49850,44900,54800,0,0,0,0,0,0,0.00390525,49850,150
4,1003000,49750,44800,54700,0,0,0,0,0,0,0.00381809,49750,150
5,1004000,49550,44600,54500,0,0,0,0,0,0,0.00383103,49550,150
6,1005000,49450,44500,54400,0,0,0,0,0,0,0.00374714,49450,150
7,1006000,49450,44500,54400,0,0,0,0,0,0,0.00363298,49450,150
8,1007000,49550,44600,54500,0,0,0,0,0,0,0.0035569,49550,150
9,1008000,49550,44600,54500,0,0,0,0,0,0,0.00344854,49550,150
10,1009000,49650,44700,54600,0,0,0,0,0,0,0.00337976,49650,150
11,1010000,49850,44900,54800,0,0,0,0,0,0,0.00342156,49850,150
12,1011000,49950,45000,54900,0,0,0,0,0,0,0.00335345,49950,150
13,1012000,50050,45100,55000,0,0,0,0,0,0,0.00328799,50050,150
14,1013000,50050,45100,55000,0,0,0,0,0,0,0.00318783,50050,150
15,1014000,49950,45000,54900,0,0,0,0,0,0,0.0031293,49950,150
16,1015000,49950,45000,54900,0,0,0,0,0,0,0.00303397,49950,150
17,1016000,49750,44800,54700,0,0,0,0,0,0,0.00310136,49750,150
18,1017000,49650,44700,54600,0,0,0,0,0,0,0.003047,49650,150
19,1018000,49550,44600,54500,0,0,0,0,0,0,0.00299517,49550,150
20,1019000,49350,44400,54300,0,0,0,0,0,0,0.00306827,49350,150
21,1020000,49150,44300,54000,0,0,0,0,0,0,0.0031367,49150,150
22,1021000,49150,44300,54000,0,0,0,0,0,0,0.00304114,49150,150
23,1022000,49050,44200,53900,0,0,0,0,0,0,0.0029904,49050,150
24,1023000,49050,44200,53900,0,0,0,0,0,0,0.00289931,49050,150
25,1024000,49050,44200,53900,0,0,0,0,0,0,0.00281098,49050,150
26,1025000,49050,44200,53900,0,0,0,0,0,0,0.00272535,49050,150
27,1026000,49150,44300,54000,0,0,0,0,0,0,0.002689,49150,150
28,1027000,49250,44300,54200,0,0,0,0,0,0,0.0026542,49250,150
29,1028000,49350,44400,54300,0,0,0,0,0,0,0.00262087,49350,150
30,1029000,49250,44300,54200,0,0,0,0,0,0,0.00258915,49250,150
31,1030000,49250,44300,54200,0,0,0,0,0,0,0.00251027,49250,150
32,1031000,49350,44400,54300,0,0,0,0,0,0,0.00248399,49350,150
33,1032000,49250,44300,54200,0,0,0,0,0,0,0.00245904,49250,150
34,1033000,49450,44500,54400,0,0,0,0,0,0,0.00258254,49450,150
35,1034000,49650,44700,54600,0,0,0,0,0,0,0.002692,49650,150
36,1035000,49550,44600,54500,0,0,0,0,0,0,0.0026563,49550,150
37,1036000,49550,44600,54500,0,0,0,0,0,0,0.00257538,49550,150
38,1037000,49450,44500,54400,0,0,0,0,0,0,0.00254549,49450,150
39,1038000,49350,44400,54300,0,0,0,0,0,0,0.00251726,49350,150
40,1039000,49550,44600,54500,0,0,0,0,0,0,0.00263399,49550,150
41,1040000,49350,44400,54300,0,0,0,0,0,0,0.00273918,49350,150
42,1041000,49350,44400,54300,0,0,0,0,0,0,0.00265573,49350,150
43,1042000,49250,44300,54200,0,0,0,0,0,0,0.00262233,49250,150
44,1043000,49250,44300,54200,0,0,0,0,0,0,0.00254244,49250,150
45,1044000,49250,44300,54200,0,0,0,0,0,0,0.00246499,49250,150
46,1045000,49050,44200,53900,0,0,0,0,0,0,0.00258942,49050,150
47,1046000,49250,44300,54200,0,0,0,0,0,0,0.00270116,49250,150
48,1047000,49150,44300,54000,0,0,0,0,0,0,0.00266578,49150,150
49,1048000,49250,44300,54200,0,0,0,0,0,0,0.00263208,49250,150
50,1049000,49350,44400,54300,0,0,0,0,0,0,0.00259982,49350,150
51,1050000,49150,44300,54000,0,0,0,0,0,0,0.00270979,49150,150
52,1051000,49250,44300,54200,0,0,0,0,0,0,0.002674,49250,150
53,1052000,49150,44300,54000,0,0,0,0,0,0,0.00263991,49150,150
54,1053000,48950,44100,53800,0,0,0,0,0,0,0.00274746,48950,150
55,1054000,49150,44300,54000,0,0,0,0,0,0,0.00284485,49150,150
56,1055000,48950,44100,53800,0,0,0,0,0,0,0.00293345,48950,150
57,1056000,49150,44300,54000,0,0,0,0,0,0,0.00301436,49150,150
58,1057000,49350,44400,54300,0,0,0,0,0,0,0.00308717,49350,150
59,1058000,49450,44500,54400,0,0,0,0,0,0,0.00303392,49450,150
60,1059000,49250,44300,54200,0,0,0,0,0,0,0.00310449,49250,150
61,1060000,49250,44300,54200,0,0,0,0,0,0,0.00300991,49250,150
62,1061000,49350,44400,54300,0,0,0,0,0,0,0.00296021,49350,150
63,1062000,49550,44600,54500,0,0,0,0,0,0,0.00303621,49550,150
64,1063000,49350,44400,54300,0,0,0,0,0,0,0.00310595,49350,150
65,1064000,49150,44300,54000,0,0,0,0,0,0,0.00317137,49150,150
66,1065000,49250,44300,54200,0,0,0,0,0,0,0.0031148,49250,150
67,1066000,49350,44400,54300,0,0,0,0,0,0,0.00306051,49350,150
68,1067000,49550,44600,54500,0,0,0,0,0,0,0.00312829,49550,150
69,1068000,49650,44700,54600,0,0,0,0,0,0,0.00307293,49650,150
70,1069000,49450,44500,54400,0,0,0,0,0,0,0.00313909,49450,150
71,1070000,49550,44600,54500,0,0,0,0,0,0,0.00308342,49550,150
72,1071000,49550,44600,54500,0,0,0,0,0,0,0.00298949,49550,150
73,1072000,49750,44800,54700,0,0,0,0,0,0,0.00306177,49750,150
74,1073000,49850,44900,54800,0,0,0,0,0,0,0.00300897,49850,150
75,1074000,49850,44900,54800,0,0,0,0,0,0,0.0029173,49850,150
76,1075000,49650,44700,54600,0,0,0,0,0,0,0.00299494,49650,150
77,1076000,49850,44900,54800,0,0,0,0,0,0,0.00306613,49850,150
78,1077000,49850,44900,54800,0,0,0,0,0,0,0.00297273,49850,150
79,1078000,49850,44900,54800,0,0,0,0,0,0,0.00288217,49850,150
80,1079000,50050,45100,55000,0,0,0,0,0,0,0.00296149,50050,150
81,1080000,50050,45100,55000,0,0,0,0,0,0,0.00287127,50050,150
82,1081000,50150,45200,55100,0,0,0,0,0,0,0.0028264,50150,150
83,1082000,49950,45000,54900,0,0,0,0,0,0,0.00290987,49950,150
84,1083000,49750,44800,54700,0,0,0,0,0,0,0.00298749,49750,150
85,1084000,49650,44700,54600,0,0,0,0,0,0,0.00293811,49650,150
86,1085000,49450,44500,54400,0,0,0,0,0,0,0.0030153,49450,150
87,1086000,49650,44700,54600,0,0,0,0,0,0,0.00308611,49650,150
88,1087000,49450,44500,54400,0,0,0,0,0,0,0.00315121,49450,150
89,1088000,49450,44500,54400,0,0,0,0,0,0,0.00305521,49450,150
90,1089000,49450,44500,54400,0,0,0,0,0,0,0.00296214,49450,150
91,1090000,49250,44300,54200,0,0,0,0,0,0,0.00303863,49250,150
92,1091000,49450,44500,54400,0,0,0,0,0,0,0.00310881,49450,150
93,1092000,49550,44600,54500,0,0,0,0,0,0,0.00305446,49550,150
94,1093000,49450,44500,54400,0,0,0,0,0,0,0.00300247,49450,150
95,1094000,49550,44600,54500,0,0,0,0,0,0,0.00295276,49550,150
96,1095000,49650,44700,54600,0,0,0,0,0,0,0.00290509,49650,150
97,1096000,49850,44900,54800,0,0,0,0,0,0,0.00298376,49850,150
98,1097000,49950,45000,54900,0,0,0,0,0,0,0.00293422,49950,150
