tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1,1000000,50150,45200,55100,0,0,0,0,0,0,0,50150,150
2,1001000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
3,1002000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
4,1003000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
5,1004000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
6,1005000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
7,1006000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
8,1007000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
9,1008000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
10,1009000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
11,1010000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
12,1011000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
13,1012000,50050,45100,55000,0,0,0,0,0,0,0,50050,150
14,1013000,50050,45100,55000,0,0,0,0,0,0,0,50050,150
15,1014000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
16,1015000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
17,1016000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
18,1017000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
19,1018000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
20,1019000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
21,1020000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
22,1021000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
23,1022000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
24,1023000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
25,1024000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
26,1025000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
27,1026000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
28,1027000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
29,1028000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
30,1029000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
31,1030000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
32,1031000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
33,1032000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
34,1033000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
35,1034000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
36,1035000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
37,1036000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
38,1037000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
39,1038000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
40,1039000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
41,1040000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
42,1041000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
43,1042000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
44,1043000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
45,1044000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
46,1045000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
47,1046000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
48,1047000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
49,1048000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
50,1049000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
51,1050000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
52,1051000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
53,1052000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
54,1053000,48950,44100,53800,0,0,0,0,0,0,0,48950,150
55,1054000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
56,1055000,48950,44100,53800,0,0,0,0,0,0,0,48950,150
57,1056000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
58,1057000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
59,1058000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
60,1059000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
61,1060000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
62,1061000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
63,1062000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
64,1063000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
65,1064000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
66,1065000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
67,1066000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
68,1067000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
69,1068000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
70,1069000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
71,1070000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
72,1071000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
73,1072000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
74,1073000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
75,1074000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
76,1075000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
77,1076000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
78,1077000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
79,1078000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
80,1079000,50050,45100,55000,0,0,0,0,0,0,0,50050,150
81,1080000,50050,45100,55000,0,0,0,0,0,0,0,50050,150
82,1081000,50150,45200,55100,0,0,0,0,0,0,0,50150,150
83,1082000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
84,1083000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
85,1084000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
86,1085000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
87,1086000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
88,1087000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
89,1088000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
90,1089000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
91,1090000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
92,1091000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
93,1092000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
94,1093000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
95,1094000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
96,1095000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
97,1096000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
98,1097000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
99,1098000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
100,1099000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
101,1100000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
102,1101000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
103,1102000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
104,1103000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
105,1104000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
106,1105000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
107,1106000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
108,1107000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
109,1108000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
110,1109000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
111,1110000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
112,1111000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
113,1112000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
114,1113000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
115,1114000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
116,1115000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
117,1116000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
118,1117000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
119,1118000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
120,1119000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
121,1120000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
122,1121000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
123,1122000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
124,1123000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
125,1124000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
126,1125000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
127,1126000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
128,1127000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
129,1128000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
130,1129000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
131,1130000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
132,1131000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
133,1132000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
134,1133000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
135,1134000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
136,1135000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
137,1136000,50050,45100,55000,0,0,0,0,0,0,0,50050,150
138,1137000,50150,45200,55100,0,0,0,0,0,0,0,50150,150
139,1138000,49950,45000,54900,0,0,0,0,0,0,0,49950,150
140,1139000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
141,1140000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
142,1141000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
143,1142000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
144,1143000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
145,1144000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
146,1145000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
147,1146000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
148,1147000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
149,1148000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
150,1149000,49150,44300,54000,0,0,0,0,0,0,0,49150,150
151,1150000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
152,1151000,49050,44200,53900,0,0,0,0,0,0,0,49050,150
153,1152000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
154,1153000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
155,1154000,49350,44400,54300,0,0,0,0,0,0,0,49350,150
156,1155000,49250,44300,54200,0,0,0,0,0,0,0,49250,150
157,1156000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
158,1157000,49450,44500,54400,0,0,0,0,0,0,0,49450,150
159,1158000,49650,44700,54600,0,0,0,0,0,0,0,49650,150
160,1159000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
161,1160000,49850,44900,54800,0,0,0,0,0,0,0,49850,150
162,1161000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
163,1162000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
164,1163000,49550,44600,54500,0,0,0,0,0,0,0,49550,150
165,1164000,49750,44800,54700,0,0,0,0,0,0,0,49750,150
