tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1,1000000,50150,45200,55100,0,0,0,0,0,0,0,50150,150
2,1001000,49950,45000,54900,0,0,0,0,0,0,0.00399601,49950,150
3,1002000,49850,44900,54800,0,0,0,0,0,0,0.00447036,49850,150
4,1003000,49750,44800,54700,0,0,0,0,0,0,0.00490065,49750,150
5,1004000,49550,44600,54500,0,0,0,0,0,0,0.00634372,49550,150
6,1005000,49450,44500,54400,0,0,0,0,0,0,0.00665763,49450,150
7,1006000,49450,44500,54400,0,0,0,0,0,0,0.00665763,49450,150
8,1007000,49550,44600,54500,0,0,0,0,0,0,0.00695738,49550,150
9,1008000,49550,44600,54500,0,0,0,0,0,0,0.00695738,49550,150
10,1009000,49650,44700,54600,0,0,0,0,0,0,0.00724362,49650,150
11,1010000,49850,44900,54800,0,0,0,0,0,0,0.0082844,49850,150
12,1011000,49950,45000,54900,0,0,0,0,0,0,0.00852334,49950,150
13,1012000,50050,45100,55000,0,0,0,0,0,0,0.00875484,50050,150
14,1013000,50050,45100,55000,0,0,0,0,0,0,0.00875484,50050,150
15,1014000,49950,45000,54900,0,0,0,0,0,0,0.00898038,49950,150
16,1015000,49950,45000,54900,0,0,0,0,0,0,0.00898038,49950,150
17,1016000,49750,44800,54700,0,0,0,0,0,0,0.00983584,49750,150
18,1017000,49650,44700,54600,0,0,0,0,0,0,0.0100395,49650,150
19,1018000,49550,44600,54500,0,0,0,0,0,0,0.01024,49550,150
20,1019000,49350,44400,54300,0,0,0,0,0,0,0.0110098,49350,150
21,1020000,49150,44300,54000,0,0,0,0,0,0,0.0117348,49150,150
22,1021000,49150,44300,54000,0,0,0,0,0,0,0.0117348,49150,150
23,1022000,49050,44200,53900,0,0,0,0,0,0,0.0119102,49050,150
24,1023000,49050,44200,53900,0,0,0,0,0,0,0.0119102,49050,150
25,1024000,49050,44200,53900,0,0,0,0,0,0,0.0119102,49050,150
26,1025000,49050,44200,53900,0,0,0,0,0,0,0.0119102,49050,150
27,1026000,49150,44300,54000,0,0,0,0,0,0,0.0120831,49150,150
28,1027000,49250,44300,54200,0,0,0,0,0,0,0.0122529,49250,150
29,1028000,49350,44400,54300,0,0,0,0,0,0,0.0124196,49350,150
30,1029000,49250,44300,54200,0,0,0,0,0,0,0.0125842,49250,150
31,1030000,49250,44300,54200,0,0,0,0,0,0,0.0125842,49250,150
32,1031000,49350,44400,54300,0,0,0,0,0,0,0.0127466,49350,150
33,1032000,49250,44300,54200,0,0,0,0,0,0,0.012907,49250,150
34,1033000,49450,44500,54400,0,0,0,0,0,0,0.0135283,49450,150
35,1034000,49650,44700,54600,0,0,0,0,0,0,0.0141176,49650,150
36,1035000,49550,44600,54500,0,0,0,0,0,0,0.0142608,49550,150
37,1036000,49550,44600,54500,0,0,0,0,0,0,0.0142608,49550,150
38,1037000,49450,44500,54400,0,0,0,0,0,0,0.0144032,49450,150
39,1038000,49350,44400,54300,0,0,0,0,0,0,0.0145448,49350,150
40,1039000,49550,44600,54500,0,0,0,0,0,0,0.0150966,49550,150
41,1040000,49350,44400,54300,0,0,0,0,0,0,0.015629,49350,150
42,1041000,49350,44400,54300,0,0,0,0,0,0,0.015629,49350,150
43,1042000,49250,44300,54200,0,0,0,0,0,0,0.0157601,49250,150
44,1043000,49250,44300,54200,0,0,0,0,0,0,0.0157601,49250,150
45,1044000,49250,44300,54200,0,0,0,0,0,0,0.0157601,49250,150
46,1045000,49050,44200,53900,0,0,0,0,0,0,0.016277,49050,150
47,1046000,49250,44300,54200,0,0,0,0,0,0,0.0167779,49250,150
48,1047000,49150,44300,54000,0,0,0,0,0,0,0.0169006,49150,150
49,1048000,49250,44300,54200,0,0,0,0,0,0,0.0170223,49250,150
50,1049000,49350,44400,54300,0,0,0,0,0,0,0.0171428,49350,150
51,1050000,49150,44300,54000,0,0,0,0,0,0,0.0176172,49150,150
52,1051000,49250,44300,54200,0,0,0,0,0,0,0.017278,49250,150
53,1052000,49150,44300,54000,0,0,0,0,0,0,0.0172813,49150,150
54,1053000,48950,44100,53800,0,0,0,0,0,0,0.0176419,48950,150
55,1054000,49150,44300,54000,0,0,0,0,0,0,0.0176532,49150,150
56,1055000,48950,44100,53800,0,0,0,0,0,0,0.018005,48950,150
57,1056000,49150,44300,54000,0,0,0,0,0,0,0.018461,49150,150
58,1057000,49350,44400,54300,0,0,0,0,0,0,0.0187941,49350,150
59,1058000,49450,44500,54400,0,0,0,0,0,0,0.0189028,49450,150
60,1059000,49250,44300,54200,0,0,0,0,0,0,0.0192269,49250,150
61,1060000,49250,44300,54200,0,0,0,0,0,0,0.0188019,49250,150
62,1061000,49350,44400,54300,0,0,0,0,0,0,0.0188045,49350,150
63,1062000,49550,44600,54500,0,0,0,0,0,0,0.0191303,49550,150
64,1063000,49350,44400,54300,0,0,0,0,0,0,0.0195532,49350,150
65,1064000,49150,44300,54000,0,0,0,0,0,0,0.01987,49150,150
66,1065000,49250,44300,54200,0,0,0,0,0,0,0.0199737,49250,150
67,1066000,49350,44400,54300,0,0,0,0,0,0,0.0196715,49350,150
68,1067000,49550,44600,54500,0,0,0,0,0,0,0.0199819,49550,150
69,1068000,49650,44700,54600,0,0,0,0,0,0,0.0199819,49650,150
70,1069000,49450,44500,54400,0,0,0,0,0,0,0.0199803,49450,150
71,1070000,49550,44600,54500,0,0,0,0,0,0,0.0196673,49550,150
72,1071000,49550,44600,54500,0,0,0,0,0,0,0.0196673,49550,150
73,1072000,49750,44800,54700,0,0,0,0,0,0,0.019972,49750,150
74,1073000,49850,44900,54800,0,0,0,0,0,0,0.0200727,49850,150
75,1074000,49850,44900,54800,0,0,0,0,0,0,0.0200727,49850,150
76,1075000,49650,44700,54600,0,0,0,0,0,0,0.0204713,49650,150
77,1076000,49850,44900,54800,0,0,0,0,0,0,0.0207626,49850,150
78,1077000,49850,44900,54800,0,0,0,0,0,0,0.0206629,49850,150
79,1078000,49850,44900,54800,0,0,0,0,0,0,0.0205631,49850,150
80,1079000,50050,45100,55000,0,0,0,0,0,0,0.0208509,50050,150
81,1080000,50050,45100,55000,0,0,0,0,0,0,0.0208509,50050,150
82,1081000,50150,45200,55100,0,0,0,0,0,0,0.0208477,50150,150
83,1082000,49950,45000,54900,0,0,0,0,0,0,0.0211301,49950,150
84,1083000,49750,44800,54700,0,0,0,0,0,0,0.0211223,49750,150
85,1084000,49650,44700,54600,0,0,0,0,0,0,0.0208305,49650,150
86,1085000,49450,44500,54400,0,0,0,0,0,0,0.021122,49450,150
87,1086000,49650,44700,54600,0,0,0,0,0,0,0.0215042,49650,150
88,1087000,49450,44500,54400,0,0,0,0,0,0,0.0217862,49450,150
89,1088000,49450,44500,54400,0,0,0,0,0,0,0.021692,49450,150
90,1089000,49450,44500,54400,0,0,0,0,0,0,0.0213116,49450,150
91,1090000,49250,44300,54200,0,0,0,0,0,0,0.0213132,49250,150
92,1091000,49450,44500,54400,0,0,0,0,0,0,0.021695,49450,150
93,1092000,49550,44600,54500,0,0,0,0,0,0,0.0216943,49550,150
94,1093000,49450,44500,54400,0,0,0,0,0,0,0.0217881,49450,150
95,1094000,49550,44600,54500,0,0,0,0,0,0,0.0218816,49550,150
96,1095000,49650,44700,54600,0,0,0,0,0,0,0.0215942,49650,150
97,1096000,49850,44900,54800,0,0,0,0,0,0,0.021585,49850,150
98,1097000,49950,45000,54900,0,0,0,0,0,0,0.0215824,49950,150
